2.0	,0.17856310231710065
2.0	,0.21654428579495472
2.0	,0.1367624577800557
2.0	,0.34962661511733695
2.0	,0.2511143612022455
2.0	,0.17321294065822102
2.0	,0.1473700995774525
2.0	,0.16048261419314228
2.0	,0.17556121842453185
2.0	,0.1071392801129462
2.0	,0.17994193707210815
2.0	,0.16653734829571185
2.0	,0.09848296207538974
2.0	,0.4413987797684323
2.0	,0.4261180377223439
2.0	,0.13925254588992034
2.0	,0.15838465073836824
2.0	,0.16341566700442262
2.0	,0.39160052869423045
2.0	,0.1797447440348818
2.0	,0.1752550193661224
2.0	,0.30673702916583545
2.0	,0.13898152929516697
2.0	,0.1733942242730188
2.0	,0.1824263342929698
2.0	,0.5791746063906253
2.0	,0.10052479803168604
2.0	,0.19851417608489486
2.0	,0.1294774907507863
2.0	,0.10258172664027995
2.0	,0.18332412781683077
2.0	,0.15301055910506983
2.0	,0.14404587125049312
2.0	,0.3526435554983523
2.0	,0.0988522766790228
2.0	,0.06684706438852692
2.0	,0.16901295631444258
2.0	,0.16455743703897777
2.0	,0.20206705561685903
2.0	,0.41258017171316236
2.0	,0.12947706635378786
2.0	,0.28482943691966484
2.0	,0.16141318204858168
2.0	,0.33746497297157807
2.0	,0.11303274917998053
2.0	,0.2823334397339672
2.0	,0.1977703174823708
2.0	,0.11385791644213197
2.0	,0.07422691690227153
2.0	,0.1466005504451965
2.0	,0.3513221630861923
2.0	,0.12357765713388297
2.0	,0.22205476161470997
2.0	,0.135095410371363
2.0	,0.08663684041673256
2.0	,0.10745900921876515
2.0	,0.09385139323931423
2.0	,0.07829582947387406
2.0	,0.1709895083004206
3.0	,0.9588033367515588
1.0	,0.7570650665820485
1.0	,0.3865402976312104
3.0	,0.37223847961554424
3.0	,0.4301683398678236
3.0	,0.30057243199264744
3.0	,0.1986795352328483
2.0	,0.5129595141420882
3.0	,0.23333375986146795
1.0	,0.6182136270151551
3.0	,0.8852810924869161
1.0	,0.40999951763882725
2.0	,0.5610455020008251
3.0	,0.2564535884855586
2.0	,0.7153604368777758
2.0	,0.4825703239826712
3.0	,0.2791897155997386
3.0	,0.35429953255521046
3.0	,0.24026446491323217
3.0	,0.5793560908042863
3.0	,0.29450248839054477
3.0	,0.20204506238888342
3.0	,0.1315512535436018
3.0	,0.19801067014521673
1.0	,0.24898518008605747
3.0	,0.27595773019886205
3.0	,0.1272060772843679
3.0	,0.16906880681136202
3.0	,0.26803663210659323
3.0	,0.14329240271235671
3.0	,0.17592924719831424
3.0	,0.22644658705549053
3.0	,0.21104041525055262
3.0	,0.40697381915015374
3.0	,0.16724974000724366
3.0	,0.2772912139136493
2.0	,0.8225183008495062
3.0	,0.6219916800152531
3.0	,0.15559083353403322
2.0	,0.4213903680228703
3.0	,0.41329128975347773
3.0	,0.21111819638312262
3.0	,0.2007625641110175
3.0	,0.1369837224708434
3.0	,0.12190451571617547
3.0	,0.13470902231830806
3.0	,0.4526330158266714
3.0	,0.08792522988040907
3.0	,0.2288065407244468
3.0	,0.12030974992853201
3.0	,0.29656400617670636
3.0	,0.8433325333865961
3.0	,0.12842766271918052
3.0	,0.48599489488015885
3.0	,0.19104872269124457
3.0	,0.15556907646739324
3.0	,0.5153849383040306
3.0	,0.12182709021779527
3.0	,0.07507358960984263
1.0	,0.3439358112156175
3.0	,0.16841990086112082
3.0	,0.23294903394340605
3.0	,1.290040222330627
3.0	,0.4672566694231412
3.0	,0.7798622214937252
3.0	,0.719038744970405
3.0	,0.10990483346244745
3.0	,0.2150891672641792
3.0	,0.4705649217707515
3.0	,0.10936626490800287
3.0	,0.3331262009039509
1.0	,0.5418826677179135
1.0	,0.24515906869608362
1.0	,0.26152311754488333
1.0	,0.38344247101825046
1.0	,0.3510392427159636
1.0	,0.1899862409887455
1.0	,0.3099546991634253
1.0	,0.4461391076916782
1.0	,0.14006673305711875
1.0	,0.2006480004263316
1.0	,0.16883546790849646
1.0	,0.20600442107565753
1.0	,0.1978385608497855
1.0	,0.2562698947996594
1.0	,0.28022095561057453
1.0	,0.13502954549049012
1.0	,0.4177366362014447
1.0	,0.13964051315170214
1.0	,0.05138601202174909
1.0	,0.1916969322089422
1.0	,0.40640337778558205
1.0	,0.3849382003501612
1.0	,0.4253461613277942
1.0	,0.27650212107683714
1.0	,0.24582255486399124
1.0	,0.2960040663236314
1.0	,0.16573018009043747
1.0	,0.2923801335110221
1.0	,0.9658720751895519
1.0	,0.5606679098048587
1.0	,0.14689844136461946
1.0	,0.1151456546419359
1.0	,0.15618056287080115
1.0	,0.07843683155828916
1.0	,0.12598178359792692
1.0	,0.15817752876199456
1.0	,0.18522550321815218
1.0	,0.13040137761505638
1.0	,0.15260481523273473
1.0	,0.35934841470814105
1.0	,0.15556826474711805
1.0	,0.19304265303418316
1.0	,0.16870142201630672
1.0	,0.29554209699857636
1.0	,0.06185167428040985
1.0	,0.22801767659214225
1.0	,0.17264985657591367
1.0	,0.2731686653530624
